PROM_S,DESVEST_S
31.6910,1.3182
31.6528,1.3523
31.6148,1.3647
31.6114,1.3006
31.5779,1.2749
31.5448,1.2481
31.5218,1.2358
31.4565,1.2513
31.3932,1.2664
31.3452,1.2663
31.2884,1.2850
31.2339,1.2496
31.1734,1.2901
31.1192,1.3057
31.0773,1.3364
31.0355,1.3250
31.0078,1.3136
30.9592,1.3706
30.9047,1.3845
30.8436,1.4140
30.7943,1.4689
30.7307,1.5205
30.6968,1.5372
30.6968,1.5331
30.6748,1.5925
30.6356,1.6151
30.6128,1.6796
30.5748,1.7091
30.5415,1.7193
30.4827,1.7233
30.4608,1.7319
30.4064,1.7549
30.3591,1.7796
30.3394,1.7892
30.3206,1.7958
30.3101,1.7478
30.2993,1.6984
30.2615,1.7389
30.1989,1.7376
30.1565,1.6910
30.1527,1.6771
30.1199,1.6203
30.1280,1.5741
30.1019,1.5784
30.0999,1.6075
30.0759,1.6044
30.0544,1.5812
30.0456,1.5281
